Offset = 0 V
Zeit;Spannung_x;Spannung_y
0.0;0.1366045032148493;-1.8071780472037084
0.001;0.13749134375070024;-1.7876125534180036
0.002;0.13749134375070024;-1.768047059632299
0.003;0.1383781842865512;-1.7493709064732172
0.004;0.1383781842865512;-1.7324734345673813
0.005;0.14015186535825305;-1.7155759626615454
0.006;0.14015186535825305;-1.6986784907557095
0.007;0.14015186535825305;-1.6826703594764967
0.008;0.14015186535825305;-1.6666622281972838
0.009;0.1392650248224021;-1.6515434375446938
0.01;0.13749134375070024;-1.6373139875187268
0.011;0.13749134375070024;-1.6239738781193827
0.012;0.1366045032148493;-1.6106337687200385
0.013;0.13571766267899837;-1.5981829999473174
0.014;0.13483082214314743;-1.585732231174596
0.015;0.13305714107144553;-1.574170803028498
0.016;0.1321703005355946;-1.5626093748823997
0.017;0.1321703005355946;-1.5519372873629245
0.018;0.13039661946389272;-1.542154540470072
0.019;0.12862293839219086;-1.5332611342038427
0.02;0.12684925732048896;-1.5243677279376133
0.021;0.12507557624878707;-1.5154743216713837
0.022;0.1233018951770852;-1.5074702560317774
0.023;0.12152821410538332;-1.500355531018794
0.024;0.1188676924978305;-1.4932408060058104
0.025;0.11709401142612863;-1.4870154216194498
0.026;0.11532033035442674;-1.480790037233089
0.027;0.11354664928272487;-1.4745646528467287
0.028;0.11177296821102298;-1.4701179497136139
0.029;0.10822560606761922;-1.465671246580499
0.03;0.10645192499591735;-1.4612245434473845
0.031;0.10290456285251359;-1.4576671809408928
0.032;0.1011308817808117;-1.454109818434401
0.033;0.09847036017325889;-1.451441796554532
0.034;0.09492299802985513;-1.4487737746746634
0.035;0.09226247642230231;-1.4469950934214175
0.036;0.08782827374304761;-1.4461057527947945
0.037;0.08605459267134573;-1.4443270715415486
0.038;0.0833940710637929;-1.4434377309149256
0.039;0.07984670892038914;-1.4434377309149256
0.04;0.07718618731283633;-1.4434377309149256
0.041;0.07452566570528352;-1.4434377309149256
0.042;0.07186514409773069;-1.4443270715415486
0.043;0.06920462249017786;-1.4461057527947945
0.044;0.06654410088262505;-1.4478844340480403
0.045;0.06299673873922129;-1.4505524559279093
0.046;0.06033621713166847;-1.454109818434401
0.047;0.05767569552411565;-1.4567778403142697
0.048;0.05501517391656283;-1.4603352028207615
0.049;0.052354652309010014;-1.4638925653272532
0.05;0.049694130701457194;-1.468339268460368
0.051;0.047033609093904374;-1.4736753122201056
0.052;0.044373087486351555;-1.4790113559798432
0.053;0.040825725342947795;-1.485236740366204
0.054;0.038165203735394976;-1.4914621247525643
0.055;0.034617841591991216;-1.497687509138925
0.056;0.03284416052028934;-1.5048022341519085
0.057;0.029296798376885577;-1.511916959164892
0.058;0.026636276769332758;-1.5199210248044985
